entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,6295.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6296.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6297.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6298.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6299.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6300.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6301.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6302.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6303.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6304.0,,437.0,,
Car 124,arrival_departure,arrival,6305.0,,,,
Car 124,queue,pump_queue_wait_begins,6305.0,,,24.0,50.0
StationTank,fuel_level_change,fuel_level_change,6305.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6306.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6307.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6308.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6309.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6310.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6311.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6312.0,,437.0,,
Car 111,resource_use_end,payment_ends,6313.0,2.0,,10.0,50.0
Car 111,resource_use,pumping_begins,6313.0,2.0,,10.0,50.0
StationTank,fuel_level_change,fuel_level_change,6313.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6314.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6315.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6316.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6317.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6318.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6319.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6320.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6321.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6322.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6323.0,,437.0,,
